"ID","u","s","m","l","luminance","chromatic_contrast","achromatic_contrast","vismodel","iluminante","substrato","saturation","mean_brightness","hue","H4","body_region","claw_type","carapace_type","identidade","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","data","size"
"X008_ll_br_c_brac_claro",0.178809997627531,0.291502437212943,0.385229576239849,0.586719566177339,0.439443083692914,2.42921163088687,11.2952572,"Peafowl","D65","substrato_barradorio",0.968484338566153,44.621593380686,661,0.411620143147892,"Carapace","Brachychelous","Bright","ll_08","Bright","yes",22,NA,"by_time",2.08,1.56,1.25,2.08,34.5,"14iv2022",7.84
"X008_ll_br_q_brac_claro",0.207585603326427,0.336350731681716,0.37272635913938,0.335903931319093,0.35575712466542,3.21238011071905,10.0148939,"Peafowl","D65","substrato_barradorio",1.13111601242451,42.5609432739251,345,-1.96229740046281,"Claw","Brachychelous","Bright","ll_08","Bright","yes",22,NA,"by_time",2.08,1.56,1.25,2.08,34.5,"14iv2022",15.23
"X009_ll_br_c_brac_claro",0.145088415660693,0.29940443767301,0.372096457195578,0.434109435007602,0.380718356990832,0.830134010530556,10.4258734,"Peafowl","D65","substrato_barradorio",1.57459621349453,32.8323129270662,670,1.02183724699903,"Carapace","Brachychelous","Bright","ll_09","Bright","no",NA,NA,"by_time",1.77,0.3,0.27,1.77,42,"14iv2022",9.23
"X009_ll_br_q_brac_claro",0.245513887188334,0.494605137427357,0.578689531425592,0.533986195457876,0.55313396776197,2.19205147232268,12.6897543,"Peafowl","D65","substrato_barradorio",0.817641376203014,57.6996249313786,338,-0.045693217719026,"Claw","Brachychelous","Bright","ll_09","Bright","no",NA,NA,"by_time",1.77,0.3,0.27,1.77,42,"14iv2022",16.07
"X010_ll_br_c_brac_claro",0.0752242593249199,0.153291233124988,0.215951046238658,0.29081892386726,0.231132251873789,2.45212543591386,7.4012079,"Peafowl","D65","substrato_barradorio",1.84291174789547,18.8398451871427,649,0.895100065469073,"Carapace","Brachychelous","Bright","ll_10","Bright","yes",0,NA,"by_time",9.38,0,0,9.38,63.4,"14iv2022",9.05
"X010_ll_br_q_brac_claro",0.0633291588681884,0.154788427550747,0.225964916701295,0.227246811394813,0.217690270778784,2.63469907074086,7.0380758,"Peafowl","D65","substrato_barradorio",1.64460663835722,20.8733524155655,329,0.158513685874543,"Claw","Brachychelous","Bright","ll_10","Bright","yes",0,NA,"by_time",9.38,0,0,9.38,63.4,"14iv2022",18.1
"X011_ll_br_c_brac_escuro",0.105136041868084,0.200060563429957,0.272175573832402,0.322014947456123,0.277550220962932,1.06614808881789,8.5103705,"Peafowl","D65","substrato_barradorio",1.38202009414511,24.5391279029494,660,0.928139266668514,"Carapace","Brachychelous","Dark","ll_11","Dark","yes",22,NA,"by_time",0.1,0.17,0.25,0.25,60.7,"14iv2022",9.15
"X011_ll_br_q_brac_escuro",0.0702129648247399,0.163210260488974,0.252689766757111,0.270803806776305,0.247342164619723,2.83297625041136,7.8120115,"Peafowl","D65","substrato_barradorio",1.29198660851525,23.0106617893661,328,0.437173846683004,"Claw","Brachychelous","Dark","ll_11","Dark","yes",22,NA,"by_time",0.1,0.17,0.25,0.25,60.7,"14iv2022",19.09
"X012_ll_br_c_brac_escuro",0.0406113839877017,0.0926712273224652,0.118204402666586,0.120121821463188,0.114767902532478,1.66477515928897,3.1583096,"Peafowl","D65","substrato_barradorio",1.55476140303936,8.88390883679087,648,1.25738484134155,"Carapace","Brachychelous","Dark","ll_12","Dark","yes",9,NA,"by_time",0.75,0.72,0.04,0.75,31.3,"14iv2022",8.67
"X012_ll_br_q_brac_escuro",0.128808998232342,0.27638168870396,0.338626613433798,0.302385420008296,0.318655165293994,2.28530247682074,9.3473865,"Peafowl","D65","substrato_barradorio",1.08004534412402,32.0348852992087,336,0.458914130834399,"Claw","Brachychelous","Dark","ll_12","Dark","yes",9,NA,"by_time",0.75,0.72,0.04,0.75,31.3,"14iv2022",15.68
