"identidade","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data","body_region","size"
"ll_23","Brachychelous","Bright","yes",13,NA,"by_time",4.34,0.46,0.05,4.34,0.0314,31.4,"14iv2022","Carapace",8.39
"ll_23","Brachychelous","Bright","yes",13,NA,"by_time",4.34,0.46,0.05,4.34,0.0314,31.4,"14iv2022","Claw",13.18
"ll_24","Brachychelous","Dark","yes",2,NA,"by_time",0.88,0.83,0.61,0.88,0.0343,34.3,"14iv2022","Carapace",8.68
"ll_24","Brachychelous","Dark","yes",2,NA,"by_time",0.88,0.83,0.61,0.88,0.0343,34.3,"14iv2022","Claw",15.9
"ll_25","Brachychelous","Bright","yes",21,NA,"by_time",0.15,0.07,0.04,0.15,0.024,24,"14iv2022","Carapace",7.87
"ll_25","Brachychelous","Bright","yes",21,NA,"by_time",0.15,0.07,0.04,0.15,0.024,24,"14iv2022","Claw",11.37
"ll_26","Leptochelous","Dark","yes",8,NA,"by_time",0.48,0.15,0.04,0.48,0.0162,16.2,"14iv2022","Carapace",7.28
"ll_26","Leptochelous","Dark","yes",8,NA,"by_time",0.48,0.15,0.04,0.48,0.0162,16.2,"14iv2022","Claw",10.76
"ll_27","Brachychelous","Bright","yes",53,NA,"by_time",2.87,4.6,0.05,4.6,0.0278,27.8,"14iv2022","Carapace",7.53
"ll_27","Brachychelous","Bright","yes",53,NA,"by_time",2.87,4.6,0.05,4.6,0.0278,27.8,"14iv2022","Claw",13.09
"ll_28","Brachychelous","Bright","no",NA,NA,"by_time",5.57,3.36,0.04,5.57,0.0475,47.5,"15iv2022","Carapace",9.1
"ll_28","Brachychelous","Bright","no",NA,NA,"by_time",5.57,3.36,0.04,5.57,0.0475,47.5,"15iv2022","Claw",15.1
"ll_29","Leptochelous","Dark","no",NA,NA,"by_time",0.14,0.01,0.02,0.14,0.05,50,"15iv2022","Carapace",11.17
"ll_29","Leptochelous","Dark","no",NA,NA,"by_time",0.14,0.01,0.02,0.14,0.05,50,"15iv2022","Claw",22.25
"ll_30","Brachychelous","Bright","no",NA,NA,"by_time",2.73,2.78,1.89,2.78,0.0538,53.8,"15iv2022","Carapace",9
"ll_30","Brachychelous","Bright","no",NA,NA,"by_time",2.73,2.78,1.89,2.78,0.0538,53.8,"15iv2022","Claw",16.95
"ll_31","Brachychelous","Dark","no",NA,NA,"by_time",0.31,0.51,0.29,0.51,0.0424,42.4,"15iv2022","Carapace",10.69
"ll_31","Brachychelous","Dark","no",NA,NA,"by_time",0.31,0.51,0.29,0.51,0.0424,42.4,"15iv2022","Claw",21.93
