"ID","u","s","m","l","luminance","chromatic_contrast","achromatic_contrast","vismodel","iluminante","substrato"
"X112_ll_br_q_brac_claro",NA,0.0886927377165972,0.164796738320668,NA,0.164796738320668,0.774963045137136,1.0861702,"Fiddler crab","D65","substrato_barradorio"
"X113_ll_br_c_brac_escuro",NA,0.0513075434553894,0.0867145142502652,NA,0.0867145142502652,0.216635513970574,0.4440786,"Fiddler crab","D65","substrato_barradorio"
"X113_ll_br_q_brac_escuro",NA,0.099932859733959,0.1895180299313,NA,0.1895180299313,0.895470496631235,1.2259415,"Fiddler crab","D65","substrato_barradorio"
"X114_ll_br_c_brac_claro",NA,0.16311817001963,0.343007491955041,NA,0.343007491955041,1.50412311697832,1.8192096,"Fiddler crab","D65","substrato_barradorio"
"X114_ll_br_q_brac_claro",NA,0.118902554129832,0.259644075113578,NA,0.259644075113578,1.72644977332151,1.5407691,"Fiddler crab","D65","substrato_barradorio"
"X115_ll_br_c_brac_escuro",NA,0.050155596593276,0.0670439519119204,NA,0.0670439519119205,1.1655531379598,0.1868058,"Fiddler crab","D65","substrato_barradorio"
"X115_ll_br_q_brac_escuro",NA,0.175772227263888,0.284933282840507,NA,0.284933282840507,0.0291867777746294,1.6337124,"Fiddler crab","D65","substrato_barradorio"
"X116_ll_br_c_brac_claro",NA,0.032917281191956,0.0617361949631128,NA,0.0617361949631128,0.829986493658989,0.1043277,"Fiddler crab","D65","substrato_barradorio"
"X116_ll_br_q_brac_claro",NA,0.0500478296645324,0.123952240090093,NA,0.123952240090093,2.46837993052795,0.8013537,"Fiddler crab","D65","substrato_barradorio"
"X117_ll_br_c_brac_escuro",NA,0.0424317445907712,0.0792232971450151,NA,0.0792232971450151,0.803476076662742,0.3537278,"Fiddler crab","D65","substrato_barradorio"
"X117_ll_br_q_brac_escuro",NA,0.0313662887991783,0.0890257354688029,NA,0.0890257354688029,3.27138565334741,0.4703828,"Fiddler crab","D65","substrato_barradorio"
"X118_ll_br_c_brac_claro",NA,0.0481224482933551,0.0892431210810245,NA,0.0892431210810245,0.763653814958274,0.4728217,"Fiddler crab","D65","substrato_barradorio"
"X118_ll_br_q_brac_claro",NA,0.166102446096084,0.280640822263332,NA,0.280640822263332,0.214793534709194,1.618533,"Fiddler crab","D65","substrato_barradorio"
"X119_ll_br_c_brac_escuro",NA,0.0591479168951256,0.0988523936631305,NA,0.0988523936631304,0.150655979639681,0.5750851,"Fiddler crab","D65","substrato_barradorio"
"X119_ll_br_q_brac_escuro",NA,0.222091126824773,0.368437105499362,NA,0.368437105499362,0.107026602642777,1.8907274,"Fiddler crab","D65","substrato_barradorio"
"X120_ll_br_c_brac_claro",NA,0.0743575893226513,0.114269960942959,NA,0.114269960942959,0.343779055620831,0.7200211,"Fiddler crab","D65","substrato_barradorio"
"X120_ll_br_q_brac_claro",NA,0.0706233491181505,0.140434004641216,NA,0.140434004641216,1.17472605507197,0.926195,"Fiddler crab","D65","substrato_barradorio"
"X121_ll_br_c_lep_escuro",NA,0.0357010240913674,0.0580028489352173,NA,0.0580028489352173,0.0159480267448177,0.0419495,"Fiddler crab","D65","substrato_barradorio"
"X121_ll_br_q_lep_escuro",NA,0.162817934714356,0.279943181969128,NA,0.279943181969128,0.317814004477614,1.616044,"Fiddler crab","D65","substrato_barradorio"
"X122_ll_br_c_brac_claro",NA,0.0607273928304682,0.101383673868119,NA,0.101383673868119,0.14435566141193,0.6003694,"Fiddler crab","D65","substrato_barradorio"
"X122_ll_br_q_brac_claro",NA,0.171292093795136,0.261874171179852,NA,0.261874171179852,0.374326707538093,1.5493215,"Fiddler crab","D65","substrato_barradorio"
"X123_ll_br_c_brac_escuro",NA,0.0665857130927959,0.118666869865462,NA,0.118666869865462,0.529215766520393,0.7577775,"Fiddler crab","D65","substrato_barradorio"
"X123_ll_br_q_brac_escuro",NA,0.131336536304359,0.318440363589711,NA,0.318440363589711,2.34319267468569,1.7448926,"Fiddler crab","D65","substrato_barradorio"
"X124_ll_br_c_brac_claro",NA,0.0546894124220954,0.0888214232463378,NA,0.0888214232463378,0.0180399688106788,0.4680852,"Fiddler crab","D65","substrato_barradorio"
"X124_ll_br_q_brac_claro",NA,0.162027021542429,0.30552512703561,NA,0.30552512703561,0.861784496641215,1.7034894,"Fiddler crab","D65","substrato_barradorio"
"X125_ll_br_c_brac_escuro",NA,0.109442588004455,0.148229025405072,NA,0.148229025405072,1.08812407581206,0.9802159,"Fiddler crab","D65","substrato_barradorio"
"X125_ll_br_q_brac_escuro",NA,0.068006591831766,0.150323560436401,NA,0.150323560436401,1.79820894267708,0.9942474,"Fiddler crab","D65","substrato_barradorio"
"X126_ll_br_c_lep_claro",NA,0.0840112089995413,0.130643336576595,NA,0.130643336576595,0.273994839884316,0.8539283,"Fiddler crab","D65","substrato_barradorio"
"X126_ll_br_q_lep_claro",NA,0.0597942523441277,0.152387524268118,NA,0.152387524268118,2.63690732413505,1.0078841,"Fiddler crab","D65","substrato_barradorio"
"X127_ll_br_c_brac_escuro",NA,0.0661421631863445,0.105219194983878,NA,0.105219194983878,0.140124358005145,0.6375031,"Fiddler crab","D65","substrato_barradorio"
"X127_ll_br_q_brac_escuro",NA,0.069613704571636,0.142848082525654,NA,0.142848082525654,1.36000810286596,0.9432391,"Fiddler crab","D65","substrato_barradorio"
"X128_ll_br_c_brac_claro",NA,0.10876846388816,0.151111640305914,NA,0.151111640305914,0.938223214966015,0.9994763,"Fiddler crab","D65","substrato_barradorio"
"X128_ll_br_q_brac_claro",NA,0.232830696084816,0.386524330170276,NA,0.386524330170276,0.111157353602686,1.9386522,"Fiddler crab","D65","substrato_barradorio"
"X129_ll_br_c_brac_escuro",NA,0.0545381908471057,0.104804805659892,NA,0.104804805659892,0.973327748043205,0.633557,"Fiddler crab","D65","substrato_barradorio"
"X129_ll_br_q_brac_escuro",NA,0.0771763493222401,0.206960738932624,NA,0.206960738932624,2.93694933464965,1.3139865,"Fiddler crab","D65","substrato_barradorio"
"X130_ll_br_c_brac_claro",NA,0.101476364167622,0.167581136353147,NA,0.167581136353147,0.0802713493393205,1.102925,"Fiddler crab","D65","substrato_barradorio"
"X130_ll_br_q_brac_claro",NA,0.226629242452,0.366571753051738,NA,0.366571753051738,0.0420748106150451,1.8856516,"Fiddler crab","D65","substrato_barradorio"
"X131_ll_br_c_lep_escuro",NA,0.0878973991336691,0.160125452430438,NA,0.160125452430438,0.658600116154437,1.0574149,"Fiddler crab","D65","substrato_barradorio"
"X131_ll_br_q_lep_escuro",NA,0.0400840405084572,0.115591991052524,NA,0.115591991052524,3.3650574443107,0.731524,"Fiddler crab","D65","substrato_barradorio"
"X132_ll_br_c_brac_claro",NA,0.0545129792845491,0.119536241570171,NA,0.119536241570171,1.75104124015901,0.765077,"Fiddler crab","D65","substrato_barradorio"
"X132_ll_br_q_brac_claro",NA,0.026197240462451,0.0752509105400621,NA,0.0752509105400621,3.34199111962723,0.3022854,"Fiddler crab","D65","substrato_barradorio"
"X133_ll_br_c_brac_escuro",NA,0.0826958211081629,0.14967874872781,NA,0.14967874872781,0.620504042405518,0.9899487,"Fiddler crab","D65","substrato_barradorio"
"X133_ll_br_q_brac_escuro",NA,0.117550325749295,0.226139537327505,NA,0.226139537327505,0.97973451136516,1.4026096,"Fiddler crab","D65","substrato_barradorio"
"X134_ll_br_c_brac_claro",NA,0.0884405327413608,0.154270516530017,NA,0.154270516530017,0.402803720353437,1.020165,"Fiddler crab","D65","substrato_barradorio"
"X134_ll_br_q_brac_claro",NA,0.106636791425644,0.219452694214089,NA,0.21945269421409,1.3770249386531,1.372594,"Fiddler crab","D65","substrato_barradorio"
"X135_ll_br_c_brac_escuro",NA,0.0541132697733445,0.0682377289430853,NA,0.0682377289430854,1.50908985215107,0.204455,"Fiddler crab","D65","substrato_barradorio"
"X135_ll_br_q_brac_escuro",NA,0.0749914996112218,0.169401937461764,NA,0.169401937461764,1.92616020582219,1.1137316,"Fiddler crab","D65","substrato_barradorio"
"X136_ll_br_c_brac_claro",NA,0.168705603880843,0.223984456543156,NA,0.223984456543156,1.20560393567666,1.393034,"Fiddler crab","D65","substrato_barradorio"
