"ID2","saturation","mean_brightness","hue","H4"
"X001_ll_br_c_brac_claro",1.19318810499164,34.937527885269,465,1.60967489984986
"X001_ll_br_q_brac_claro",0.631897540125983,32.0894631734555,338,0.378626498333427
"X002_ll_br_c_lep_claro",1.47882235757494,17.7794549987955,648,1.28540140557233
"X002_ll_br_q_lep_claro",1.78696253172297,33.4333581501177,323,-0.271104761899264
"X003_ll_br_c_brac_claro",1.4854882856439,27.0586307585473,636,1.19073974208908
"X003_ll_br_q_brac_claro",0.986131524426415,37.6975332023543,339,-1.9978212733732
"X004_ll_br_c_brac_claro",1.53079461249689,18.787561646934,657,1.18269258582326
"X004_ll_br_q_brac_claro",1.45230518356217,21.5585441079205,340,-0.522414808511076
"X005_ll_br_c_brac_claro",1.59313877229899,15.4066766409921,656,1.16795183177033
"X005_ll_br_q_brac_claro",1.27733860785796,35.6370618774727,339,-1.00188072740902
"X006_ll_br_c_brac_claro",1.40283674645442,24.1033572979356,658,1.06199468985275
"X006_ll_br_q_brac_claro",1.29805093276134,25.4258703509601,329,0.528938549080127
"X007_ll_br_c_brac_claro",1.44877522331152,15.63863753292,657,1.27909458511906
"X007_ll_br_q_brac_claro",1.41099761976269,48.497025480973,320,-1.36175480865566
"X008_ll_br_c_brac_claro",0.968484338566153,44.621593380686,661,0.411620143147892
"X008_ll_br_q_brac_claro",1.13111601242451,42.5609432739251,345,-1.96229740046281
"X009_ll_br_c_brac_claro",1.57459621349453,32.8323129270662,670,1.02183724699903
"X009_ll_br_q_brac_claro",0.817641376203014,57.6996249313786,338,-0.045693217719026
"X010_ll_br_c_brac_claro",1.84291174789547,18.8398451871427,649,0.895100065469073
"X010_ll_br_q_brac_claro",1.64460663835722,20.8733524155655,329,0.158513685874543
"X011_ll_br_c_brac_escuro",1.38202009414511,24.5391279029494,660,0.928139266668514
"X011_ll_br_q_brac_escuro",1.29198660851525,23.0106617893661,328,0.437173846683004
"X012_ll_br_c_brac_escuro",1.55476140303936,8.88390883679087,648,1.25738484134155
"X012_ll_br_q_brac_escuro",1.08004534412402,32.0348852992087,336,0.458914130834399
"X013_ll_br_c_brac_escuro",1.56715850039915,7.27916316702117,648,1.29338076821607
"X013_ll_br_q_brac_escuro",1.98010047632678,20.9509323830142,322,0.0356157269746629
"X014_ll_br_c_brac_escuro",1.21302986752179,9.50306252004185,655,0.859583769177014
"X014_ll_br_q_brac_escuro",1.27720980567912,28.4142498848515,333,-1.02903076788648
"X015_ll_br_c_brac_escuro",1.44879140771885,16.9966134406791,663,0.81968748515421
"X015_ll_br_q_brac_escuro",1.35997652437748,36.8014213604681,341,-2.12617997678378
"X016_ll_br_c_brac_escuro",1.59431171691926,13.3921727826517,649,1.06266323683311
"X016_ll_br_q_brac_escuro",1.04076157296521,26.1075159746644,333,0.0314323371917705
"X017_ll_br_c_lep_escuro",1.93207449644375,9.05265128539678,649,0.899449689229118
"X017_ll_br_q_lep_escuro",1.35718565988074,17.1334048879387,338,-1.27365422694546
"X018_ll_br_c_lep_escuro",1.57080311070012,12.3056850616273,647,1.22419404264001
"X018_ll_br_q_lep_escuro",1.3458286163714,25.4277733833902,336,0.28237535915519
"X019_ll_br_c_brac_escuro",1.92689334135796,10.2508461284987,659,0.819504948490303
"X019_ll_br_q_brac_escuro",1.1850451409357,18.8295074041744,339,0.610293507337789
"X020_ll_br_c_brac_escuro",1.29669828050185,12.9864042129761,648,0.991071434454212
"X020_ll_br_q_brac_escuro",1.08866640944758,39.0262879660189,343,0.674834816684289
"X021_ll_br_c_brac_claro",1.69643608945741,14.9360325067679,647,0.983634552388528
"X021_ll_br_q_brac_claro",1.18291823762253,26.1940450656339,338,-1.1747441719892
"X022_ll_br_c_lep_escuro",1.13372683757516,21.515534942857,655,1.32014013529107
"X022_ll_br_q_lep_escuro",1.43764937312012,26.3277115072396,339,-1.35009828713303
"X023_ll_br_c_brac_claro",1.73513571644882,8.31602360772836,649,1.10466156035011
"X023_ll_br_q_brac_claro",1.05681103870795,32.0864705316912,343,-2.98757729374004
"X024_ll_br_c_brac_escuro",1.85594660198263,5.99074525706162,648,1.01218688529274
"X024_ll_br_q_brac_escuro",2.26249795969064,15.6502296373564,327,-0.394923362895559
"X025_ll_br_c_brac_claro",1.46984445904902,21.3371634096683,647,1.16463050637331
"X025_ll_br_q_brac_claro",1.37195791832656,31.3521460187817,332,-1.93815697295957
"X026_ll_br_c_lep_escuro",1.61606703582684,17.2375155702301,635,1.14427165262884
"X026_ll_br_q_lep_escuro",1.38547509366006,25.7279683636652,578,0.733538711504074
"X027_ll_br_c_brac_claro",1.83166246983616,5.96621807178614,647,1.08651578875543
