"ID","s","m","luminance","chromatic_contrast","achromatic_contrast","vismodel","iluminante","substrato"
"Bright1",0.231350997149767,0.342893618860425,0.342893618860425,0.557062857521007,11.3675503,"Fiddler crab","D65","substrato_barradorio"
"Bright2",0.0977137618016369,0.179645204283504,0.179645204283504,0.712530792736636,7.3273226,"Fiddler crab","D65","substrato_barradorio"
"Bright3",0.131379443248991,0.275015529657497,0.275015529657497,1.47736404066024,9.988846,"Fiddler crab","D65","substrato_barradorio"
"Bright4",0.0902036162189812,0.194089925619177,0.194089925619177,1.63949272780924,7.8106836,"Fiddler crab","D65","substrato_barradorio"
"Bright5",0.0788465528691343,0.153320937093327,0.153320937093327,1.04303454151422,6.3370072,"Fiddler crab","D65","substrato_barradorio"
"Bright6",0.119857885127417,0.224115314870208,0.224115314870208,0.81218898478149,8.7096782,"Fiddler crab","D65","substrato_barradorio"
"Bright7",0.083900249159765,0.15993934015218,0.15993934015218,0.925986439969795,6.6011401,"Fiddler crab","D65","substrato_barradorio"
"Bright8",0.207405564579016,0.317963626082918,0.317963626082918,0.358032081396759,10.8957799,"Fiddler crab","D65","substrato_barradorio"
"Bright9",0.161351681682294,0.302267336406768,0.302267336406768,0.823217122919495,10.5793728,"Fiddler crab","D65","substrato_barradorio"
"Bright10",0.0827015835383269,0.165260212312096,0.165260212312096,1.20362302013352,6.8056817,"Fiddler crab","D65","substrato_barradorio"
"Dark1",0.118677056988765,0.214884432691346,0.214884432691346,0.622686703417904,8.446801,"Fiddler crab","D65","substrato_barradorio"
"Dark2",0.0442559784699713,0.0931550056018317,0.0931550056018317,1.50998786039656,3.2228289,"Fiddler crab","D65","substrato_barradorio"
"Dark3",0.0397167421354159,0.0741380530117465,0.0741380530117465,0.802184330025661,1.7957296,"Fiddler crab","D65","substrato_barradorio"
"Dark4",0.0516831424336712,0.0770660879125831,0.0770660879125831,0.521427913117876,2.0378196,"Fiddler crab","D65","substrato_barradorio"
"Dark5",0.080095383801371,0.141186075722641,0.141186075722641,0.464566551291522,5.8216657,"Fiddler crab","D65","substrato_barradorio"
"Dark6",0.0707035903544759,0.121928790332627,0.121928790332627,0.335403772615122,4.9051562,"Fiddler crab","D65","substrato_barradorio"
"Dark7",0.036464990529404,0.0805148715060071,0.0805148715060072,1.79173989740533,2.3114357,"Fiddler crab","D65","substrato_barradorio"
"Dark8",0.0621374696226843,0.126090436400954,0.126090436400954,1.29417800189438,5.11492,"Fiddler crab","D65","substrato_barradorio"
"Dark9",0.0440187748565273,0.0856377768489761,0.0856377768489761,1.04586592850988,2.6969644,"Fiddler crab","D65","substrato_barradorio"
"Dark10",0.0605135757700255,0.118510982172062,0.118510982172062,1.08491967261101,4.7274589,"Fiddler crab","D65","substrato_barradorio"
"Bright11",0.0499540759854721,0.147742354956256,0.147742354956256,3.51399591949324,6.1053607,"Fiddler crab","D65","substrato_barradorio"
"Dark11",0.127832610750022,0.203720580351026,0.203720580351026,0.129596498339988,8.1133572,"Fiddler crab","D65","substrato_barradorio"
