"ID","claw_size","carapace_size","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data"
"ll_47",18.1,9.71,"brachy","e","no",NA,NA,"by_time",0.06,0.2,0.67,0.67,0.0543,54.3,"15iv2022"
"ll_48",19.2,10.12,"brachy","b","yes",58,NA,"by_time",0.03,0.03,0.01,0.03,0.0688,68.8,"15iv2022"
"ll_49",15.51,8.92,"lepto","e","yes",59,NA,"by_time",0.41,0.16,0.12,0.41,0.0374,37.4,"15iv2022"
"ll_50",16.63,9.28,"brachy","b","no",NA,NA,"by_time",0.06,0.35,0.1,0.35,0.0367,36.7,"15iv2022"
"ll_51",13.36,8.45,"lepto","e","no",NA,NA,"by_time",0.08,0.02,0.11,0.11,0.0218,21.8,"15iv2022"
"ll_52",12.33,7.97,"brachy","b","no",NA,NA,"by_time",0.36,2.3,0.03,2.3,0.0268,26.8,"15iv2022"
"ll_53",12.61,8.1,"brachy","e","no",NA,NA,"by_time",0.48,1.2,0.6,1.2,0.027,27,"15iv2022"
"ll_54",18.09,9.65,"brachy","b","no",NA,NA,"by_time",0.11,2.73,0.08,2.73,0.0592,59.2,"15iv2022"
"ll_55",14.99,8.98,"brachy","e","no",NA,NA,"by_time",5.72,0.33,5.61,5.72,0.0404,40.4,"15iv2022"
"ll_56",16.48,9.11,"brachy","b","no",NA,NA,"by_time",0.02,0.008,0.01,0.02,0.0513,51.3,"15iv2022"
"ll_57",12.05,9.15,"brachy","e","no",NA,NA,"by_time",1.59,2.34,0.06,2.34,0.0333,33.3,"15iv2022"
"ll_58",19.98,9.93,"brachy","b","no",NA,NA,"by_time",4.54,0.51,0.43,4.54,0.0718,71.8,"17iv2022"
"ll_59",18.25,9.51,"brachy","e","no",NA,NA,"by_time",0.53,0.49,0.59,0.59,0.0618,61.8,"17iv2022"
"ll_60",15.24,8.85,"brachy","b","no",NA,NA,"by_time",1.31,0.45,0.08,1.31,0.0433,43.3,"17iv2022"
"ll_61",19.23,9.15,"brachy","e","no",NA,NA,"by_time",0.63,0.06,0.01,0.63,0.037,37,"17iv2022"
"ll_62",16.75,9.03,"brachy","b","no",NA,NA,"by_time",1.53,0.3,0.83,1.53,0.0504,50.4,"17iv2022"
"ll_63",19.53,9.4,"brachy","e","no",NA,NA,"by_time",5.11,0.51,0.09,5.11,0.0549,54.9,"17iv2022"
"ll_64",15.61,9,"brachy","b","no",NA,NA,"by_time",0.004,0.07,0.02,0.07,0.0453,45.3,"17iv2022"
"ll_65",16.99,8.63,"brachy","e","no",NA,NA,"by_time",5.07,0.33,0.34,5.07,0.056,56,"17iv2022"
"ll_66",13.02,8.55,"lepto","b","no",NA,NA,"by_time",0.68,0.11,0.03,0.68,0.0276,27.6,"17iv2022"
"ll_67",19.13,9.95,"brachy","e","no",NA,NA,"by_time",0.04,5.39,0.29,5.39,0.0557,55.7,"17iv2022"
"ll_68",16.52,9.16,"brachy","b","no",NA,NA,"by_time",5.02,0.59,0.01,5.02,0.0396,39.6,"17iv2022"
"ll_69",15.82,8.61,"brachy","e","no",NA,NA,"by_time",0.45,0.53,0.12,0.53,0.0298,29.8,"17iv2022"
"ll_70",16.68,8.43,"brachy","b","no",NA,NA,"by_time",2.64,0,0.04,2.64,0.0577,57.7,"17iv2022"
"ll_71",18.14,9.08,"brachy","e","no",NA,NA,"by_time",4.5,0.22,0.01,4.5,0.0527,52.7,"17iv2022"
"ll_72",13.2,7.82,"brachy","b","yes",0,NA,"by_time",0.41,0.23,0,0.41,0.0298,29.8,"17iv2022"
"ll_73",16.41,9.33,"brachy","e","no",NA,NA,"by_time",8.82,0.56,0.01,8.82,0.0494,49.4,"17iv2022"
